apple	0.050603
username	0.011157
iphone	0.009805
see	0.007889
steve	0.007438
jobs	0.006875
gaga	0.006762
quot;	0.006311
lady	0.006199
siri	0.00586
just	0.005184
new	0.005184
get	0.004846
username:	0.004733
going	0.004283
store	0.004057
watch	0.003945
will	0.003719
wonderland	0.003494
can	0.003381
dear	0.003381
island	0.003381
shutter	0.003268
alice	0.003268
via	0.003156
app	0.003156
movie	0.003156
now	0.003043
amp;	0.003043
taylor	0.002818
like	0.002705
iphone4s	0.002592
tech	0.002592
day	0.002592
google	0.002592
love	0.002479
ios5	0.002479
back	0.002479
amazon	0.002479
john	0.002479
twitter	0.002367
great	0.002367
ipad	0.002367
last	0.002367
watching	0.002367
swift	0.002367
know	0.002254
natalie	0.002254
facebook	0.002141
really	0.002141
obama	0.002141
video	0.002029
weekend	0.002029
time	0.002029
next	0.002029
saw	0.002029
want	0.001916
song	0.001916
today	0.001803
book	0.001803
eli	0.001803
portman	0.001803
tonight	0.001691
ios	0.001691
way	0.001691
first	0.001691
seen	0.001691
stevejobs	0.001691
movies	0.001691
sold	0.001691
lol	0.001578
ipod	0.001578
world	0.001578
gonna	0.001578
tomorrow	0.001578
much	0.001465
think	0.001465
good	0.001465
million	0.001465
need	0.001465
still	0.001465
touch	0.001465
wait	0.001465
yet	0.001465
win	0.001465
seeing	0.001465
colin	0.001465
tiger	0.001465
music	0.001352
mommy	0.001352
genius	0.001352
hello	0.001352
make	0.001352
please	0.001352
check	0.001352
line	0.001352
valentine's	0.001352
hillary	0.001352
barack	0.001352
got	0.00124
hey	0.00124
one	0.00124
done	0.00124
people	0.00124
wants	0.00124
life	0.00124
waiting	0.00124
icloud	0.00124
wanna	0.00124
att	0.00124
use	0.00124
war	0.00124
wolfman	0.00124
paris	0.00124
clinton	0.00124
firth	0.00124
memories	0.00124
also	0.00124
baby	0.00124
pampers	0.00124
pampershelloapps	0.00124
mac	0.001127
buy	0.001127
year	0.001127
apple's	0.001127
every	0.001127
rome	0.001127
already	0.001127
woods	0.001127
phones	0.001127
better	0.001014
old	0.001014
work	0.001014
page	0.001014
week	0.001014
home	0.001014
coming	0.001014
tooth	0.001014
fairy	0.001014
anyone	0.001014
quot;the	0.001014
president	0.001014
stay	0.001014
friends	0.001014
eric	0.001014
blackberry	0.000902
amazing	0.000902
days	0.000902
well	0.000902
even	0.000902
2012	0.000902
samsung	0.000902
video:	0.000902
big	0.000902
news	0.000902
fan	0.000902
brad	0.000902
sony	0.000902
support	0.000789
call	0.000789
help	0.000789
phone	0.000789
everyone	0.000789
users	0.000789
bad	0.000789
update	0.000789
man	0.000789
top	0.000789
screen	0.000789
sales	0.000789
(via	0.000789
story	0.000789
available	0.000789
read	0.000789
live	0.000789
say	0.000789
microsoft	0.000789
says	0.000789
night	0.000789
cop	0.000789
spy	0.000789
never	0.000789
gaga's	0.000789
pitt	0.000789
tell	0.000789
told	0.000789
fastcompany	0.000789
edatpost:	0.000789
holder	0.000789
spotted	0.000789
(2010)	0.000789
thanks	0.000676
things	0.000676
best	0.000676
haha	0.000676
side	0.000676
thank	0.000676
right	0.000676
making	0.000676
yeah	0.000676
per	0.000676
fun	0.000676
hours	0.000676
release	0.000676
soon	0.000676
online	0.000676
watched	0.000676
legion	0.000676
single	0.000676
kid	0.000676
black	0.000676
minutes	0.000676
contract	0.000676
mark	0.000676
pretty	0.000564
made	0.000564
said	0.000564
find	0.000564
ipads	0.000564
apps	0.000564
another	0.000564
lt;3	0.000564
ever	0.000564
talking	0.000564
sells	0.000564
look	0.000564
battery	0.000564
getting	0.000564
mall	0.000564
excited	0.000564
used	0.000564
bar	0.000564
post	0.000564
hear	0.000564
four	0.000564
gone	0.000564
feel	0.000564
playing	0.000564
since	0.000564
edge	0.000564
gets	0.000564
hell	0.000564
yes	0.000564
thing	0.000564
sure	0.000564
market	0.000564
design	0.000564
wonder	0.000564
take	0.000564
interesting	0.000564
needs	0.000564
full	0.000564
favorite	0.000564
door	0.000564
windows	0.000564
later	0.000564
plan	0.000564
true	0.000564
smh	0.000564
darkness	0.000564
train	0.000564
dragon	0.000564
lot	0.000564
cinema	0.000564
many	0.000564
titans	0.000564
date	0.000564
concert	0.000564
justin	0.000564
record	0.000564
name	0.000564
trying	0.000564
download	0.000564
key	0.000564
players	0.000564
tweets	0.000564
kinda	0.000564
money	0.000564
rolling	0.000564
state	0.000564
recession	0.000564
honor	0.000564
unlocked	0.000564
setup	0.000564
evernote	0.000564
announced	0.000564
tickets	0.000564
city	0.000564
interview	0.000564
guy	0.000451
android	0.000451
hope	0.000451
gotta	0.000451
iphones	0.000451
come	0.000451
free	0.000451
macbook	0.000451
website	0.000451
awesome	0.000451
umber	0.000451
appstore	0.000451
red	0.000451
seems	0.000451
enough	0.000451
save	0.000451
problem	0.000451
technology	0.000451
computer	0.000451
though	0.000451
incredible	0.000451
play	0.000451
camera	0.000451
thx	0.000451
using	0.000451
finest	0.000451
morning	0.000451
missed	0.000451
link	0.000451
two	0.000451
imessage	0.000451
powered	0.000451
success	0.000451
products	0.000451
finally	0.000451
photo	0.000451
long	0.000451
school	0.000451
device	0.000451
start	0.000451
shows	0.000451
tweeting	0.000451
hard	0.000451
management	0.000451
box	0.000451
gt;	0.000451
family	0.000451
thinks	0.000451
saying	0.000451
community	0.000451
put	0.000451
end	0.000451
show	0.000451
crazies	0.000451
clash	0.000451
dinner	0.000451
named	0.000451
someone	0.000451
lt;	0.000451
0	0.000451
born	0.000451
may	0.000451
dvd	0.000451
girls	0.000451
japan	0.000451
article	0.000451
canon	0.000451
site	0.000451
wireless	0.000451
non	0.000451
newsstand	0.000451
hmmm	0.000451
september	0.000451
global	0.000451
2011	0.000451
hit	0.000451
march	0.000451
angry	0.000451
continues	0.000451
avatar	0.000451
quot;alice	0.000451
consider	0.000451
earnings	0.000451
memorial	0.000451
rules	0.000451
attcustomercare	0.000451
factory	0.000451
